역사_ID,역사명,호선,위도,경도,역명_key,호선_우선순위,구,요양기관수,장애인복지관수,병원수,무임승하차비중,무임승하차,시설부하지수,TOTAL,복지시설합계
414,수유(강북구청),4호선,37.638052,127.025732,수유,1,강북구,174,1,6,19.91,399024,24939.0,16,181
314,홍제,3호선,37.589066,126.943736,홍제,1,서대문구,116,2,7,28.16,291341,24278.42,12,125
231,신대방,2호선,37.487462,126.913149,신대방,1,동작구,140,3,3,18.27,266430,13321.5,20,146
232,구로디지털단지,2호선,37.485266,126.901401,구로디지털단지,1,구로구,177,2,9,12.51,404769,20238.45,20,188
234,신도림,2호선,37.508961,126.891084,신도림,1,구로구,177,2,9,15.48,451645,18065.8,25,188
239,홍대입구,2호선,37.55679,126.923708,홍대입구,1,마포구,91,1,3,4.45,199966,12497.88,16,95
310,구파발,3호선,37.636763,126.918821,구파발,1,은평구,218,2,7,21.05,264784,22065.33,12,227
311,연신내,3호선,37.619229,126.921038,연신내,1,은평구,218,2,7,25.68,519372,23607.82,22,227
318,안국,3호선,37.576477,126.985443,안국,1,종로구,60,1,5,13.79,222709,12372.72,18,66
229,봉천,2호선,37.482362,126.941892,봉천,1,관악구,211,2,3,22.63,308615,19288.44,16,216
319,종로3가,3호선,37.571605,126.991791,종로3가,1,종로구,60,1,5,29.18,903628,18825.58,48,66
320,을지로3가,3호선,37.566672,126.992548,을지로3가,1,중구,38,1,1,11.74,246050,13669.44,18,40
330,교대(법원.검찰청),3호선,37.493025,127.013786,교대,1,서초구,91,2,6,17.63,464804,17877.08,26,99
331,남부터미널(예술의전당),3호선,37.485013,127.016189,남부터미널,1,서초구,91,2,6,14.62,257985,18427.5,14,99
332,양재(서초구청),3호선,37.484477,127.033902,양재,1,서초구,91,2,6,14.21,307297,13968.05,22,99
410,상계,4호선,37.660878,127.073572,상계,1,노원구,250,6,10,23.85,261592,32699.0,8,266
230,신림,2호선,37.484201,126.929715,신림,1,관악구,211,2,3,12.7,405289,20264.45,20,216
228,서울대입구(관악구청),2호선,37.481247,126.952739,서울대입구,1,관악구,211,2,3,13.26,354951,17747.55,20,216
413,쌍문,4호선,37.648627,127.034709,쌍문,1,도봉구,242,1,7,22.0,360541,20030.06,18,250
152,종각,1호선,37.570161,126.982923,종각,1,종로구,60,1,5,13.33,292689,16260.5,18,66
154,종로5가,1호선,37.570926,127.001849,종로5가,1,종로구,60,1,5,34.61,488319,40693.25,12,66
155,동대문,1호선,37.571687,127.01093,동대문,1,종로구,60,1,5,29.55,553382,17851.03,31,66
157,제기동,1호선,37.578103,127.034893,제기동,1,동대문구,183,2,9,55.25,559716,39979.71,14,194
158,청량리(서울시립대입구),1호선,37.579956,127.044585,청량리,1,동대문구,183,2,9,42.58,561989,40142.07,14,194
213,구의(광진구청),2호선,37.537077,127.085916,구의,1,광진구,125,1,4,15.38,221772,15840.86,14,130
226,사당,2호선,37.476538,126.981544,사당,1,동작구,140,3,3,16.0,641019,15634.61,41,146
214,강변(동서울터미널),2호선,37.535095,127.094681,강변,1,광진구,125,1,4,13.61,234870,23487.0,10,130
215,잠실나루,2호선,37.520733,127.10379,잠실나루,1,송파구,210,3,10,21.48,179442,14953.5,12,223
216,잠실(송파구청),2호선,37.513262,127.100159,잠실,1,송파구,210,3,10,10.41,608007,14476.36,42,223
220,선릉,2호선,37.504286,127.048203,선릉,1,강남구,123,6,10,15.04,440366,31454.71,14,139
222,강남,2호선,37.49799,127.027912,강남,1,강남구,123,6,10,6.64,302191,18886.94,16,139
412,창동,4호선,37.653088,127.047274,창동,1,도봉구,242,1,7,29.1,462840,13612.94,34,250
150,서울역,1호선,37.556228,126.972135,서울,1,용산구,48,1,1,12.12,547114,16579.21,33,50
2518,화곡,5호선,37.541513,126.840461,화곡,1,강서구,288,3,9,19.14,305281,25440.08,12,300
2812,천호(풍납토성),8호선,37.538113,127.123254,천호,1,강동구,177,4,8,23.36,505554,12638.85,40,189
2717,하계,7호선,37.636352,127.06799,하계,1,노원구,250,6,10,22.84,233114,12950.78,18,266
2622,망원,6호선,37.556094,126.910052,망원,1,마포구,91,1,3,18.2,174581,17458.1,10,95
2611,응암,6호선,37.598605,126.915577,응암,1,은평구,218,2,7,24.74,254328,21194.0,12,227
2544,장한평,5호선,37.56144,127.064623,장한평,1,동대문구,183,2,9,18.68,204762,12797.62,16,194
2534,광화문(세종문화회관),5호선,37.571525,126.97717,광화문,1,종로구,60,1,5,10.14,199187,16598.92,12,66
415,미아(서울사이버대학),4호선,37.62667,127.025983,미아,1,강북구,174,1,6,27.22,244017,13556.5,18,181
2517,우장산,5호선,37.548768,126.836318,우장산,1,강서구,288,3,9,24.25,206482,12905.12,16,300
2516,발산,5호선,37.558598,126.837668,발산,1,강서구,288,3,9,16.95,222936,18578.0,12,300
2811,암사,8호선,37.55021,127.127562,암사,1,강동구,177,4,8,22.98,223208,13950.5,16,189
425,회현(남대문시장),4호선,37.558514,126.978246,회현,1,중구,38,1,1,25.26,407309,29093.5,14,40
424,명동,4호선,37.560989,126.986325,명동,1,중구,38,1,1,7.7,163513,12577.92,13,40
420,혜화,4호선,37.582336,127.001844,혜화,1,종로구,60,1,5,12.2,267668,22305.67,12,66
417,길음,4호선,37.603407,127.025053,길음,1,성북구,178,2,9,20.08,250892,16726.13,15,189
416,미아사거리,4호선,37.613292,127.030053,미아사거리,1,강북구,174,1,6,24.65,380795,38079.5,10,181
