운영노선명,역명,승강기명,승강기 구분
9호선,개화,"(1F) 하선승강장 6-4 근처
(2F) 안전관리실 옆 1호기",EV
9호선,개화,"(1F) 2번출구 옆
(2F) 편의점 앞 2호기",EV
9호선,김포공항,"(B1) 안전관리실 옆
(B3) 상부본선 승강장 4-2 지점 2호기",EV
9호선,김포공항,"(B1) 안전관리실 앞
(B4) 하선 승강장 1-1 지점 3호기",EV
9호선,김포공항,"(B1) 안전관리실 앞
(B4) 하선 승강장 1-1 지점 4호기",EV
9호선,공항시장,"(B1)대합실 표내는 곳 방향 좌측(개화,김포공항역 방면)
(B4)하선승강장 6-2 출입구 앞 1호기",EV
9호선,공항시장,"(B1)대합실 표내는 곳 방향 우측(중앙보훈병원 방면)
(B4)상선승강장 1-3 출입구 앞 2호기",EV
9호선,공항시장,"(1F)1번, 2번 출입구 사이
(B1)2번 출구 방면 앞 3호기",EV
9호선,신방화,"(B1) 개화역 방향 개찰구 앞
(B2) 개화역 방향 승강장 3-1 출입문 앞 1호기",EV
9호선,신방화,"(B1) 중앙보훈병원역 방향 개찰구 앞
(B2) 중앙보훈병원역 방향 승강장 4-4 출입문 앞 2호기",EV
9호선,신방화,"(1F) 7번/8번 출입구 사이
(B1) 7/8번 출입구 방향 대합실 3호기",EV
9호선,신방화,"(1F) 3번 출입구 옆
(B1) 3번 출입구 방향 대합실 4호기",EV
9호선,마곡나루,"(B1) 대합실, 표내는 곳 방향
(B2) 신방화역 방향 승강장 3-3 출입문 앞 1호기",EV
9호선,마곡나루,"(B1) 대합실, 표내는 곳 방향
(B2) 양천향교역 방향 승강장 4-2 출입문 앞 2호기",EV
9호선,마곡나루,"(1F) 1번/2번 출입구 사이
(B1) 대합실, 1번/2번 출입구 방향 3호기",EV
9호선,마곡나루,"(1F) 마곡 중앙광장 E/S 출입구 뒷 편
(B2) 대합실, 표내는 곳 방향 4호기",EV
9호선,양천향교,"(B1) 표내는곳 내 마곡나루역 방향
(B2) 마곡나루역 방향 승강장 3-2 출입문 근처 1호기",EV
9호선,양천향교,"(B1) 표내는곳 내 가양역 방향
(B2) 가양역 방향 승강장 4-4 출입문 근처 2호기",EV
9호선,양천향교,"(1F) 3, 4번 출입구 사이
(B2)대합실. 3,4번 출입구 방향 3호기",EV
9호선,양천향교,"(1F) 5, 6번 출입구 사이
(B2)대합실. 5,6번 출입구 방향 4호기",EV
9호선,가양,(B2) 양천향교역 방향 승강장 시점 비승차구역 1호기,EV
9호선,가양,(B2) 증미역 방향 승강장 종점 비승차구역 2호기,EV
9호선,가양,"(1F) 4, 5번 출입구 사이 3호기",EV
9호선,가양,"(1F) 8, 9번 출입구 사이 4호기",EV
9호선,증미,"(B1) 표내는곳 내 계단 옆, 가양역 방향
(B2) 증미역 방향 승강장 3-4 출입문 근처 1호기",EV
9호선,증미,"(B1) 표내는곳 내 계단 옆, 등촌역 방향
(B2) 염창역 방향 승강장 3-4 출입문 근처 2호기",EV
9호선,증미,"(1F) 1번 출입구 옆
(B1) 대합실 옆 3호기",EV
9호선,등촌,"(B1) 표내는곳 내 계단 옆, 증미역 방향
(B2) 증미역 방향 승강장 1-1 출입문 근처 1호기",EV
9호선,등촌,"(B1) 표내는곳 내 계단 옆, 염창역 방향
(B2) 염창역 방향 승강장 6-4 출입문 근처 2호기",EV
9호선,등촌,"(1F) 5번 출입구 옆
(B1) 화장실 근처 3호기",EV
9호선,염창,(B2) 등촌역 방향 승강장 3-4/4-1사이 1호기,EV
9호선,염창,(B2) 신목동역 방향 승강장 3-4/4-1사이 2호기,EV
9호선,염창,"(B1)1번/2번 출입구 사이 
 (1F)1번/2번 출입구 사이 3호기",EV
9호선,염창,"(B1)3번/4번 출입구 사이
(1F)3번/4번 출입구 사이 4호기",EV
9호선,신목동,"(B2) 편의점 맞은편 표 내는 곳 내부
(B3) 개화방면 승강장 4-1 출입구 방향  1호기",EV
9호선,신목동,"(B2) 편의점 맞은편 표 내는 곳 내부
(B3) 중앙보훈병원역방면 승강장 4-1 출입구 방향 2호기",EV
9호선,신목동,"(1F) 1,2번 출입구 사이
(B2) 1번 출입구 쪽 원형 대합실 방면 3호기",EV
9호선,신목동,"(1F) 2번 출입구 에스컬레이터 옆 
(B2) 2번 출입구 에스컬레이터 옆 4호기",EV
9호선,선유도,"(B2) 표 내는 곳 내부편의점 맞은편 방향
(B3) 중앙보훈병원방면 승강장 4-1 출입문 방향 1호기",EV
9호선,선유도,"(B2) 표 내는 곳 내부안전관리실 우측
(B3) 개화방면 승강장 3-4 출입문 방향 2호기",EV
9호선,선유도,"(1F) 1,2번 출입구 사이
(B1) 2번 출입구 옆
(B2) E/S 7호기 옆 중앙통로 왼쪽 방향 3호기",EV
9호선,선유도,"(1F) 7,8번 출입구 사이
(B1) 7번 출입구 옆
(B2) E/S 7호기 옆 중앙통로 오른쪽 방향 4호기",EV
9호선,당산,"(B1) 편의점방향 표 내는 곳 내부
(B2) 대합실 환승통로 중앙(에스컬레이터 14호기 좌측)
(B3) 종합운동장방향 승강장 6-4 방향 비승차구역 1호기",EV
9호선,당산,"(F2) 2호선 외선 승강장
(B2) 2호선 환승 외선 에스컬레이터 옆 2호기",EV
9호선,당산,"(F2) 2호선 내선 승강장
(B2) 2호선 환승 내선 에스컬레이터 옆 3호기",EV
9호선,당산,"(1F) 10번 출입구 옆
(B1) 10번 출입구 통로 4호기",EV
9호선,당산,"(1F) 1번,13번 출입구 사이
(B1) 13번 출입구 통로 5호기",EV
9호선,국회의사당,"(B2) 편의점방향 표 내는 곳 내부 화장실 방향  
(B3) 당산역 방향 승강장 5-3 출입문 앞 1호기",EV
9호선,국회의사당,"(1F) 2번, 3번 출입구 사이 
(B2) 2번, 3번 출입구 방향 2호기",EV
9호선,국회의사당,"(1F) 4번, 5번 출입구 사이 
(B2) 4번, 5번 출입구 방향 3호기",EV
9호선,국회의사당,"(1F) 6번 출입구 옆 
(B2) 6번 출입구 방향 4호기",EV
9호선,여의도,"(B1) 편의점 방면 게이트 통과 후 개화방면
(B2) 국회의사당역 방향 승강장 1-1 출입문 옆  1호기",EV
9호선,여의도,"(B1) 편의점 방면 게이트 통과 후 중앙보훈병원방면
(B2) 샛강역 방향 승강장 6-4 출입문 옆 2호기",EV
9호선,샛강,"(B2) 표내는 곳(9호선, 신림선) 방향, 1번~4번 출입구 방향
(B3) 여의도역 방향 승강장 1-1 출입문 옆 1호기",EV
9호선,샛강,"(B2) 표내는 곳(9호선, 신림선) 방향, 1번~4번 출입구 방향
(B3) 노량진역 방향 승강장 6-4 출입문 옆 2호기",EV
9호선,샛강,"(1F) 1번~2번 출입구 사이
(B2) 표내는 곳(9호선, 신림선) 방향, 1번~2번 출입구 방향  3호기",EV
9호선,샛강,"(1F) 3번 출입구 뒤
(B2) 표내는 곳(9호선, 신림선) 방향,  3번 출입구 옆 4호기",EV
9호선,샛강,지하2층 대합실 및 지하1층 대합실 간 1호기,EV
9호선,노량진,"(B1) 표내는 곳 옆, 1호선 환승방향 
(B2) 샛강역 방향 승강장 4-1 출입문 앞 1호기",EV
9호선,노량진,"(B1) 표내는 곳 옆, 1호선 환승방향
(B2) 노들역 방향 승강장 3-4 출입문 앞 2호기",EV
9호선,노량진,"(1F) 8번 출입구 옆
(B1) 9호선 표내는 곳 방향, 8번 출입구 방향 3호기",EV
9호선,노량진,"(1F) 5번~6번 출입구 사이
(B1) 9호선 표내는 곳 방향, 5번~6번 출입구 방향, 화장실 방향 4호기",EV
