지하철역,호선명,총승차인원,무임승차인원,총하차인원,무임하차인원,전체승하차,무임승하차,무임승하차비중,EV,ES,TOTAL,시설부하지수,가중편의시설합,시설부하지수_순위,집중관리구역후보
종로5가,1,712905,247967,697910,240352,1410815,488319,34.61,3,0,3,40693.25,12,1,True
청량리,1,662997,280334,656727,281655,1319724,561989,42.58,2,6,8,40142.07,14,2,True
제기동,1,501317,269661,511782,290055,1013099,559716,55.25,3,2,5,39979.71,14,3,True
미아사거리,4,779304,190582,765423,190213,1544727,380795,24.65,2,2,4,38079.5,10,4,True
상계,4,567980,132469,528993,129123,1096973,261592,23.85,1,4,5,32699.0,8,5,True
선릉,2,1557470,234282,1369726,206084,2927196,440366,15.04,3,2,5,31454.71,14,6,True
회현,4,790571,203810,821961,203499,1612532,407309,25.26,2,6,8,29093.5,14,7,True
화곡,5,826102,155956,769286,149325,1595388,305281,19.14,2,4,6,25440.08,12,8,True
수유,4,1001984,198968,1002275,200056,2004259,399024,19.91,3,4,7,24939.0,16,9,True
홍제,3,530608,146942,503869,144399,1034477,291341,28.16,3,0,3,24278.42,12,10,True
연신내,"3,6",1036393,264167,985977,255205,2022370,519372,25.68,3,10,13,23607.82,22,11,True
강변,2,888712,119587,836482,115283,1725194,234870,13.61,2,2,4,23487.0,10,12,True
혜화,4,1093159,134964,1101259,132704,2194418,267668,12.2,2,4,6,22305.67,12,13,True
구파발,3,637558,135019,620332,129765,1257890,264784,21.05,2,4,6,22065.33,12,14,True
응암,6,516764,127624,511157,126704,1027921,254328,24.74,2,4,6,21194.0,12,15,True
신림,2,1621945,203222,1569510,202067,3191455,405289,12.7,3,8,11,20264.45,20,16,True
구로디지털단지,2,1626825,202295,1608586,202474,3235411,404769,12.51,4,4,8,20238.45,20,17,True
쌍문,4,850936,181630,787722,178911,1638658,360541,22.0,3,6,9,20030.06,18,18,True
봉천,2,704725,154480,658851,154135,1363576,308615,22.63,2,8,10,19288.44,16,19,True
강남,2,2302759,161221,2246564,140970,4549323,302191,6.64,4,0,4,18886.94,16,20,True
종로3가,"1,3,5",1557687,458436,1539083,445192,3096770,903628,29.18,7,20,27,18825.58,48,21,True
발산,5,646724,113341,668751,109595,1315475,222936,16.95,3,0,3,18578.0,12,22,True
남부터미널,3,877287,128438,887839,129547,1765126,257985,14.62,3,2,5,18427.5,14,23,True
신도림,2,1475772,232560,1441309,219085,2917081,451645,15.48,4,9,13,18065.8,25,24,True
교대,"2,3",1330717,237048,1305183,227756,2635900,464804,17.63,5,6,11,17877.08,26,25,True
동대문,"1,4",932876,279178,940024,274204,1872900,553382,29.55,5,11,16,17851.03,31,26,True
서울대입구,2,1360212,182456,1316590,172495,2676802,354951,13.26,3,8,11,17747.55,20,27,True
망원,6,463783,85481,495333,89100,959116,174581,18.2,2,2,4,17458.1,10,28,True
길음,4,628482,125633,621129,125259,1249611,250892,20.08,3,3,6,16726.13,15,29,True
광화문,5,957048,100036,1006443,99151,1963491,199187,10.14,2,4,6,16598.92,12,30,True
서울,"1,4",2155185,271561,2358354,275553,4513539,547114,12.12,6,9,15,16579.21,33,31,True
종각,1,1112527,151760,1083408,140929,2195935,292689,13.33,4,2,6,16260.5,18,32,True
구의,2,730178,110581,711614,111191,1441792,221772,15.38,2,6,8,15840.86,14,33,True
사당,"2,4",1988942,323350,2017546,317669,4006488,641019,16.0,5,21,26,15634.61,41,34,True
잠실나루,2,423808,89855,411448,89587,835256,179442,21.48,2,4,6,14953.5,12,35,True
잠실,"2,8",2898750,309717,2944462,298290,5843212,608007,10.41,7,14,21,14476.36,42,36,True
양재,3,1041290,153085,1120906,154212,2162196,307297,14.21,5,2,7,13968.05,22,37,True
암사,8,510235,112483,461278,110725,971513,223208,22.98,3,4,7,13950.5,16,38,True
을지로3가,"2,3",1051252,125034,1045244,121016,2096496,246050,11.74,4,2,6,13669.44,18,39,True
창동,4,775634,227917,815046,234923,1590680,462840,29.1,8,2,10,13612.94,34,40,True
미아,4,456892,121117,439668,122900,896560,244017,27.22,3,6,9,13556.5,18,41,True
신대방,2,743464,132928,714755,133502,1458219,266430,18.27,3,8,11,13321.5,20,42,True
하계,7,526960,118719,493645,114395,1020605,233114,22.84,3,6,9,12950.78,18,43,True
우장산,5,427755,101202,423688,105280,851443,206482,24.25,3,4,7,12905.12,16,44,True
장한평,5,551537,101379,544629,103383,1096166,204762,18.68,3,4,7,12797.62,16,45,True
천호,"5,8",1055612,253203,1108370,252351,2163982,505554,23.36,6,16,22,12638.85,40,46,True
명동,4,1024787,80421,1099284,83092,2124071,163513,7.7,2,5,7,12577.92,13,47,True
홍대입구,2,2164692,101308,2331846,98658,4496538,199966,4.45,2,8,10,12497.88,16,48,True
안국,3,792762,108590,822163,114119,1614925,222709,13.79,2,10,12,12372.72,18,49,True
