역명,시간대,전체인원,교통약자인원(추정),시간대별_교통약자비중,혼잡도,인원당혼잡지표
강남,06시간대이전,715337,305105,42.65,554.5,0.7752
강남,06-07시간대,2623786,606018,23.1,356.4,0.1358
강남,07-08시간대,6893516,397144,5.76,487.75,0.0708
강남,08-09시간대,13212838,450078,3.41,730,0.0552
강남,09-10시간대,13269565,638363,4.81,745.45,0.0562
강남,10-11시간대,7512027,754260,10.04,706.75,0.0941
강남,11-12시간대,6404718,820100,12.8,745.85,0.1165
강남,12-13시간대,6909162,750993,10.87,811.25,0.1174
강남,13-14시간대,8006099,836367,10.45,886,0.1107
강남,14-15시간대,7989728,1059491,13.26,870.1,0.1089
강남,15-16시간대,8712925,1112473,12.77,938.3,0.1077
강남,16-17시간대,10014143,904057,9.03,1107.05,0.1105
강남,17-18시간대,14089594,716992,5.09,1146.35,0.0814
강남,18-19시간대,17835555,466678,2.62,1130.3,0.0634
강남,19-20시간대,11450767,341576,2.98,831.35,0.0726
강남,20-21시간대,8084137,291729,3.61,778.75,0.0963
강남,21-22시간대,8417213,229136,2.72,887.85,0.1055
강남,22-23시간대,7348269,128249,1.75,786.25,0.107
강남,23-24시간대,3574484,43954,1.23,499.45,0.1397
강남,24시간대이후,706107,8321,1.18,71.35,0.101
강변,06시간대이전,389232,120516,30.96,207.1,0.5321
강변,06-07시간대,1665806,323965,19.45,230.9,0.1386
강변,07-08시간대,3392637,338874,9.99,332.25,0.0979
강변,08-09시간대,5345485,479278,8.97,523.05,0.0978
강변,09-10시간대,4136239,593070,14.34,498.8,0.1206
강변,10-11시간대,3530688,695992,19.71,471.65,0.1336
강변,11-12시간대,3209139,679186,21.16,566,0.1764
강변,12-13시간대,3213439,600950,18.7,598.35,0.1862
강변,13-14시간대,3281205,597214,18.2,630.1,0.192
강변,14-15시간대,3277592,644961,19.68,609.35,0.1859
강변,15-16시간대,3681665,722947,19.64,702.45,0.1908
강변,16-17시간대,4000292,697017,17.42,732.6,0.1831
강변,17-18시간대,4700161,599087,12.75,761,0.1619
강변,18-19시간대,5713131,467958,8.19,783.85,0.1372
강변,19-20시간대,4012529,362279,9.03,577.4,0.1439
강변,20-21시간대,2954056,255964,8.66,521.85,0.1767
강변,21-22시간대,2452913,175471,7.15,571.4,0.2329
강변,22-23시간대,1972013,102857,5.22,479.5,0.2432
강변,23-24시간대,957553,33888,3.54,317.55,0.3316
강변,24시간대이후,217768,5309,2.44,48.5,0.2227
광화문,06시간대이전,83140,54094,65.06,213.4,2.5668
광화문,06-07시간대,1219264,212780,17.45,217.1,0.1781
광화문,07-08시간대,3344514,184754,5.52,379.9,0.1136
광화문,08-09시간대,10180511,272603,2.68,477.15,0.0469
광화문,09-10시간대,4964754,410052,8.26,430.05,0.0866
광화문,10-11시간대,2745234,512686,18.68,453.5,0.1652
광화문,11-12시간대,2957389,604940,20.46,508.3,0.1719
광화문,12-13시간대,2929155,571625,19.52,546.95,0.1867
광화문,13-14시간대,3425854,608087,17.75,600.65,0.1753
광화문,14-15시간대,3368215,701381,20.82,625.35,0.1857
광화문,15-16시간대,3575702,756256,21.15,688.35,0.1925
광화문,16-17시간대,4259221,678629,15.93,824.5,0.1936
광화문,17-18시간대,6245205,531332,8.51,915.8,0.1466
광화문,18-19시간대,9520985,353614,3.71,825.55,0.0867
광화문,19-20시간대,3783479,224346,5.93,606.4,0.1603
광화문,20-21시간대,2828400,201754,7.13,525.7,0.1859
광화문,21-22시간대,2807332,164307,5.85,500.95,0.1784
광화문,22-23시간대,1743136,76431,4.38,404.8,0.2322
광화문,23-24시간대,611824,17497,2.86,263.6,0.4308
광화문,24시간대이후,90497,2832,3.13,42.2,0.4663
교대,06시간대이전,428279,250003,58.37,830.8,1.9399
교대,06-07시간대,1756856,658521,37.48,707.15,0.4025
교대,07-08시간대,3993091,490840,12.29,976.3,0.2445
교대,08-09시간대,9199939,611667,6.65,1469.35,0.1597
교대,09-10시간대,7673038,965870,12.59,1463.85,0.1908
교대,10-11시간대,4635797,1076855,23.23,1338.75,0.2888
교대,11-12시간대,4432606,1435329,32.38,1408.2,0.3177
교대,12-13시간대,4412792,1396878,31.66,1499.65,0.3398
교대,13-14시간대,4991127,1407339,28.2,1627.25,0.326
교대,14-15시간대,5131130,1663191,32.41,1604.95,0.3128
교대,15-16시간대,5197823,1520839,29.26,1682.3,0.3237
교대,16-17시간대,5593115,1296687,23.18,2004.8,0.3584
