역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,시간대총합
강남,승차,72558,147362,101127,119326,173754,265257,330605,330247,364767,559296,635839,497923,390260,254475,198898,170428,138418,78372,22837,3398,4855147
강남,하차,182670,359588,231094,257176,360253,365701,355430,297978,334876,326996,294774,258344,209523,135913,86839,73611,53260,28912,13932,3563,4230433
강변,승차,86025,109211,145978,248363,316015,354708,333662,277293,268871,268436,288579,276345,239510,194023,158964,110911,73353,37997,11765,1546,3801555
강변,하차,20394,176858,153256,174852,207681,259871,266077,253361,258484,301081,349802,339139,289499,219196,160938,115112,81592,52828,18159,3142,3701322
광화문,승차,22196,27566,33094,39281,57695,92524,123573,151179,222593,324748,410334,376066,270753,179892,131462,130217,108798,48610,10452,1363,2762396
광화문,하차,19297,135648,108623,169821,256838,300735,340450,287290,243844,213251,169757,144481,136809,91350,40624,24540,17235,10017,2969,809,2714388
교대,승차,77404,180912,130140,177551,276675,366771,447479,456596,627293,913677,863895,701282,631359,456695,415665,407066,269762,124933,31055,4107,7560317
교대,하차,144082,402493,304711,364345,579021,587250,824126,780944,619514,559798,483466,447495,506818,282348,139447,105143,77317,44267,17048,3713,7273346
구로디지털단지,승차,283739,234254,256258,291627,350862,353192,354420,355235,367634,372939,465641,500848,469750,352377,280559,218755,140510,66449,17656,2546,5735251
구로디지털단지,하차,60086,151100,197249,283982,354155,391699,370117,404461,523305,496716,525027,510932,447925,367923,235340,162639,125751,89521,37876,8959,5744763
구의,승차,163696,174060,186178,232477,276419,268915,253064,239397,235558,231312,230061,216000,173539,129443,98940,72225,49692,30235,9238,1116,3271565
구의,하차,15685,109776,95334,127303,161333,198043,229940,230031,227302,257211,342967,329657,299402,238646,169628,111494,87945,57631,26055,4600,3319983
구파발,승차,120563,132237,168851,238643,337410,352502,344059,322698,321533,346704,379782,334746,237990,162355,99006,75384,44471,24040,5722,1233,4049929
구파발,하차,22637,82530,152391,208379,263885,321685,311994,300109,299454,307019,327599,335730,282133,228373,168432,119661,88460,56736,26859,6913,3910979
길음,승차,134185,169256,226565,303243,377111,364102,316553,299040,282802,266880,291191,265541,210751,170569,104614,64287,35542,19903,7187,823,3910145
길음,하차,31862,84061,106916,143577,160458,218846,251900,291243,321250,321505,381455,391917,356381,293985,211539,153888,111606,68424,26474,4434,3931721
남부터미널,승차,48579,97945,100826,159393,228311,282398,303216,266567,293148,345746,369844,360952,320827,256805,199149,165113,122493,61792,16059,939,4000102
남부터미널,하차,27477,294171,223409,275853,355458,352582,296556,270986,291273,319177,304193,281931,257760,191382,114903,79282,51675,26012,11733,2276,4028089
동대문,승차,130193,95823,131878,211747,344479,479539,597929,729934,868502,985113,1018080,955053,777231,496614,336780,230207,168365,110890,36971,5508,8710836
동대문,하차,86971,246472,389687,537269,733575,898164,1005601,920743,826256,769357,631116,479253,337197,220113,199102,141404,78247,41806,20368,5401,8568102
망원,승차,71764,77595,103125,131583,183152,210437,217057,235534,223723,215975,226569,213394,162889,115023,79733,58100,32469,17287,8372,513,2584294
망원,하차,21868,63236,63875,95211,173337,192253,222242,232225,240027,233284,292284,261946,225910,153212,98169,60950,45059,29271,15503,1543,2721405
명동,승차,21680,25527,25238,30271,43287,77926,124282,165143,217361,271900,327860,282006,210740,152437,112262,99133,78993,49720,11849,1261,2328876
명동,하차,19218,134359,108668,143218,227540,286199,320328,275578,215910,184050,144831,115518,105394,61367,31301,17273,10703,6371,2114,676,2410616
미아,승차,155902,166340,187975,243043,277072,309395,299472,323699,311341,276819,256431,233703,191661,137281,108497,71556,48474,22432,7230,1708,3630031
미아,하차,27080,66334,98967,182557,241430,250319,271497,258218,263081,286296,378807,358331,307619,248945,173974,113167,88695,55570,28001,3104,3701992
미아사거리,승차,212971,259844,288636,366712,467872,482297,460577,454559,467333,464887,479074,421774,321601,232263,178675,130681,74855,39740,15068,1915,5821334
미아사거리,하차,36155,105691,133006,190440,255465,356307,442789,453940,437011,492689,613128,605711,529907,420672,290073,194601,144253,94291,39770,6470,5842369
발산,승차,41669,62968,81406,110976,176231,219358,243025,244327,262455,316947,351809,312365,235692,167661,118006,92469,68617,42756,9650,943,3159330
발산,하차,33037,111577,133982,216838,223785,257972,301744,276105,257399,241390,231801,212165,190523,142698,89072,60156,41591,25788,13052,3671,3064346
봉천,승차,214551,204030,228137,303181,394629,392604,354549,365401,384415,345571,323220,296180,232177,177939,134179,97676,63105,30929,9018,1186,4552677
봉천,하차,21894,90206,114807,165235,224573,265354,346743,339072,331633,380304,496507,480528,416077,317939,219812,152799,114463,73132,28846,6261,4586185
사당,승차,249788,287120,318704,370431,531091,614588,636412,731583,792269,1039284,1023687,824408,659604,516928,517752,491201,320511,153773,44698,6246,10130078
사당,하차,65134,413345,306494,352190,524308,734443,1202187,1056248,718607,683242,763898,860732,830679,544055,312304,236533,175744,104720,49320,13227,9947410
상계,승차,162692,180335,233268,306224,346473,342186,311546,336557,303813,265163,261227,231398,207417,147184,97362,62490,45792,24267,7503,1286,3874183
상계,하차,8106,97999,131928,158521,183000,211284,245452,284008,255827,271067,330907,363695,342815,311305,228102,154399,116400,67756,31476,7960,3802007
서울대입구,승차,416219,236619,245438,279456,408790,430104,409867,397337,470855,403418,410231,397280,324179,255709,189028,132668,94557,54673,19367,20525,5596320
서울대입구,하차,40226,125702,150191,187882,317017,398183,407427,387615,408912,469007,551153,504281,423951,324134,229231,155844,118761,75508,30368,11209,5316602
서울역,승차,150194,122883,218921,253911,357894,451861,590227,607737,609275,644508,749134,711729,646281,435784,327067,238540,197691,110545,35286,5633,7465101
서울역,하차,95951,438518,373779,448837,602029,619462,656995,623227,608071,589811,618946,569487,441068,319685,225706,147666,101166,54042,24944,6938,7566328
선릉,승차,52938,125728,82868,110097,179403,271482,356512,426584,531818,735697,948015,1013448,736285,536547,396235,301374,199939,97128,24654,2962,7129714
선릉,하차,119518,355044,237672,381567,739846,710024,603554,501296,593491,510279,442544,367901,283681,158483,97475,72470,47853,25077,12817,4342,6264934
수유,승차,247132,259834,305330,403907,479249,503426,491116,481571,458313,436213,435484,398996,343820,271913,193145,125739,84340,46965,18965,2944,5988402
수유,하차,40003,121069,157421,267671,341253,388947,415772,419507,436015,469296,567101,596073,530255,429783,314910,211891,156319,103917,48564,9149,6024916
신대방,승차,255531,208916,249954,302679,365639,343029,308411,285951,279268,257914,257385,239318,184688,156144,107222,68123,46980,22036,7447,1058,3947693
신대방,하차,25482,106950,131537,164715,185112,223592,231549,252535,281254,319861,419457,402824,358324,292688,214097,156941,125903,82558,34227,6466,4016072
신도림,승차,321116,234236,240316,302424,401970,449296,485931,502777,530651,597612,644105,582556,493043,354150,262856,207851,122547,58538,19529,9890,6821394
신도림,하차,61524,168833,203599,299665,359822,478735,604705,564640,530818,527088,576135,551033,488940,370108,237473,172387,127230,75213,39413,12331,6449692
신림,승차,348169,304345,312301,371242,463393,475626,453342,442913,441026,461229,444134,397155,333205,306356,195379,132576,91575,50207,19154,4290,6047617
신림,하차,42337,146834,143041,196689,297677,396588,479389,439989,428438,458843,587471,588685,530297,409458,302765,222719,172574,107804,52095,7735,6011428
쌍문,승차,271344,298643,356744,440087,526122,545000,480791,453821,409640,362733,329852,295893,234298,172127,128656,86657,56766,31280,11591,2262,5494307
쌍문,하차,19484,111087,136730,179588,250393,291895,331808,359184,356157,394156,544478,568826,535675,446497,337201,235328,175775,120370,55161,10425,5460218
암사,승차,193919,179455,228695,273612,307731,306686,277435,270013,263521,228470,219538,195796,157649,116689,87034,58672,39869,19774,6183,2208,3432949
암사,하차,33186,70379,90305,108234,143813,175359,226112,240091,237468,270011,353997,371330,327569,256986,183486,126882,91890,69345,28390,5773,3410606
양재,승차,83901,129585,113676,150922,222534,271741,309132,319897,355837,484362,524565,458039,391206,286952,253054,235893,167818,87059,19432,1664,4867269
양재,하차,34339,360256,256028,274450,363244,378460,476629,396262,372472,358444,337377,330343,344910,215613,134461,106001,80729,46238,19403,3470,4889129
연신내,승차,325054,315097,404760,492104,598917,653890,714637,769784,679858,646407,639333,604851,449231,318711,223506,155105,106459,56225,19601,2823,8176353
연신내,하차,26520,130716,198435,351141,469275,535310,588586,606135,595989,623295,767765,760703,669178,540770,394499,257117,201237,135632,62208,13172,7927683
우장산,승차,99010,113844,152194,225076,275148,302779,307959,281567,242945,230612,246703,214148,163359,112275,75294,47641,28062,13797,3670,474,3136557
우장산,하차,16845,65323,88373,131743,161503,200249,212713,238263,255299,279001,319808,336889,287028,237580,160126,106873,77960,50857,19891,3825,3250149
을지로3가,승차,34066,27301,36084,69356,89118,164458,214959,243587,309075,454667,485293,442632,408960,326584,224364,177985,135679,67371,22775,2302,3936616
을지로3가,하차,48619,169482,196444,369190,462943,442615,398760,354035,304272,278676,221906,192190,159620,89445,40637,22941,16000,8509,4686,1540,3782510
