연번,호선,정거장명,정거장층수,형식,지반고,레일면고,선로기준 정거장 깊이(m),승강장기준 정거장 깊이(m),비고
1,9,언주,B5,상대식,136.48,100.51,35.97,34.87,
2,9,선정릉,B4,상대식,141.1,114.58,26.52,25.42,분당선환승
3,9,삼성중앙,B2,상대식,129.4,107.496,21.904,20.804,
4,9,봉은사,B2,상대식,117.54,96.52,21.02,19.92,
5,9,종합운동장,B4,상대식,114.57,81.265,33.305,32.205,2호선환승
6,9,삼전,B2,상대식,114.33,93.889,20.441,19.341,
7,9,석촌고분,B4,섬식,114.26,95.68,18.58,17.48,
8,9,석촌,B2,섬식,114.75,90.91,23.84,22.74,8호선환승
9,9,송파나루,B2,섬식,114.65,96.169,18.481,17.381,
10,9,한성백제,B2,섬식,115.06,95.99,19.07,17.97,
11,9,올림픽공원,B3,섬식,120.38,96.91,23.47,22.37,5호선환승
12,9,둔촌오륜,B2,섬식,127.48,104.97,22.51,21.41,
13,9,중앙보훈병원,B2,복합식,139,124.38,14.62,13.52,
