사용월,호선명,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자
202412,1호선,동묘앞,155654,157569,160983,158444,20250103
202412,1호선,서울역,1496624,231782,1403500,217616,20250103
202412,1호선,시청,689635,148888,684140,143883,20250103
202412,1호선,종각,1010431,179003,977469,167898,20250103
202412,1호선,종로3가,497844,314812,452394,287056,20250103
202412,1호선,종로5가,458015,250472,446780,244497,20250103
202412,1호선,동대문,252373,133914,246241,133772,20250103
202412,1호선,신설동,302848,126462,289710,121883,20250103
202412,1호선,제기동,240025,271548,229286,291781,20250103
202412,1호선,청량리(서울시립대입구),405925,291292,403185,289536,20250103
202412,2호선,뚝섬,688604,67614,719535,67769,20250103
202412,2호선,성수,1375880,105498,1488651,106041,20250103
202412,2호선,건대입구,1066688,102048,1127077,106227,20250103
202412,2호선,구의(광진구청),648139,117634,627702,117942,20250103
202412,2호선,강변(동서울터미널),766156,121142,712636,115929,20250103
202412,2호선,잠실나루,338812,92899,325962,92064,20250103
202412,2호선,잠실(송파구청),2442975,241917,2420022,233981,20250103
202412,2호선,잠실새내,606073,122947,598402,121380,20250103
202412,2호선,종합운동장,200621,50200,224194,52076,20250103
202412,2호선,삼성(무역센터),1549003,138582,1548465,127448,20250103
202412,2호선,선릉,1381021,245404,1224475,215631,20250103
202412,2호선,역삼,1239880,156707,1403406,160139,20250103
202412,2호선,강남,2217530,171790,2200980,151258,20250103
202412,2호선,교대(법원.검찰청),735182,166582,889228,199787,20250103
202412,2호선,서초,570340,105074,554973,106167,20250103
202412,2호선,방배,419176,84721,434386,83951,20250103
202412,2호선,사당,1128699,258251,1211574,241295,20250103
202412,2호선,낙성대(강감찬),711502,117902,681838,119254,20250103
202412,2호선,서울대입구(관악구청),1210564,190295,1164985,179676,20250103
202412,2호선,봉천,570567,159216,520849,158585,20250103
202412,2호선,신림,1477335,214369,1436955,214640,20250103
202412,2호선,신대방,625399,139464,590520,139523,20250103
202412,2호선,구로디지털단지,1469799,216429,1448852,216126,20250103
202412,2호선,대림(구로구청),596223,142429,605769,146435,20250103
202412,2호선,신도림,1356483,255030,1324426,240945,20250103
202412,2호선,문래,594379,95436,618513,95530,20250103
202412,2호선,영등포구청,553787,113693,575488,113158,20250103
202412,2호선,당산,506562,67078,589365,72272,20250103
202412,2호선,합정,942019,73736,1041933,75895,20250103
202412,2호선,홍대입구,2282202,109227,2483706,106825,20250103
202412,2호선,신촌,1071180,137085,1091174,134801,20250103
202412,2호선,이대,446233,52036,490606,55860,20250103
202412,2호선,아현,262311,68736,243591,67950,20250103
202412,2호선,충정로(경기대입구),252685,48633,271336,49527,20250103
202412,2호선,용답,71832,18415,70649,18273,20250103
202412,2호선,신답,38283,9613,43186,10182,20250103
202412,2호선,신설동,80254,34854,77457,36656,20250103
202412,2호선,도림천,29757,8654,31361,9849,20250103
202412,2호선,양천구청,146664,56494,155397,57299,20250103
202412,2호선,용두(동대문구청),51711,25271,52072,26635,20250103
202412,2호선,신정네거리,227933,78049,234152,80079,20250103
202412,2호선,시청,728396,77391,667467,67462,20250103
202412,2호선,을지로입구,1460314,127287,1466229,117047,20250103
202412,2호선,을지로3가,674616,81296,664419,79903,20250103
202412,2호선,을지로4가,338976,79832,340995,80225,20250103
202412,2호선,동대문역사문화공원(DDP),414426,62597,485709,67905,20250103
202412,2호선,신당,369514,96571,394468,98567,20250103
202412,2호선,상왕십리,362740,73500,352715,74874,20250103
202412,2호선,왕십리(성동구청),433232,57419,399709,52321,20250103
202412,2호선,한양대,306882,14737,332091,15907,20250103
202412,3호선,홍제,389856,150659,367265,147972,20250103
202412,3호선,지축,186363,39357,184646,37841,20250103
202412,3호선,구파발,522875,143136,508044,136175,20250103
202412,3호선,연신내,773893,268869,741081,260862,20250103
202412,3호선,불광,355758,151077,376015,167958,20250103
202412,3호선,녹번,372930,84012,335037,83026,20250103
202412,3호선,무악재,93820,33541,91333,35993,20250103
202412,3호선,독립문,159743,73499,165072,73625,20250103
202412,3호선,경복궁(정부서울청사),679463,100361,705469,100094,20250103
202412,3호선,안국,712449,115681,739255,123356,20250103
202412,3호선,종로3가,261262,70976,301948,80382,20250103
202412,3호선,을지로3가,307534,54397,307469,51166,20250103
202412,3호선,충무로,428,6,0,0,20250103
202412,3호선,동대입구,287253,44230,315537,48605,20250103
202412,3호선,약수,293900,86478,294775,81862,20250103
202412,3호선,금호,185585,56603,174636,55856,20250103
202412,3호선,옥수,204564,63624,212962,64056,20250103
202412,3호선,압구정,804050,150579,871217,148845,20250103
202412,3호선,신사,767108,77408,808191,75234,20250103
202412,3호선,잠원,120388,34317,114869,32867,20250103
202412,3호선,고속터미널,1427029,245590,1377362,228510,20250103
202412,3호선,교대(법원.검찰청),401860,98353,227545,53980,20250103
202412,3호선,남부터미널(예술의전당),816073,139162,825649,139591,20250103
202412,3호선,양재(서초구청),929768,167339,997096,169049,20250103
202412,3호선,매봉,290948,80609,282154,75708,20250103
202412,3호선,도곡,145724,34368,147629,32575,20250103
202412,3호선,대치,273482,76273,269488,74569,20250103
202412,3호선,학여울,61203,21427,63601,21134,20250103
202412,3호선,대청,254985,66506,238218,64267,20250103
202412,3호선,일원,245009,73108,234788,72504,20250103
202412,3호선,수서,458853,131509,454819,127310,20250103
202412,3호선,가락시장,196715,88056,195190,85929,20250103
202412,3호선,경찰병원,168060,49111,167343,51090,20250103
202412,3호선,오금,156143,36248,139817,34506,20250103
202412,4호선,창동,575780,240461,611156,247077,20250103
202412,4호선,쌍문,705107,192896,641371,189088,20250103
202412,4호선,수유(강북구청),840596,207727,840896,209443,20250103
202412,4호선,미아(서울사이버대학),353651,126286,332079,126857,20250103
202412,4호선,미아사거리,616278,196834,603615,197161,20250103
202412,4호선,길음,518562,129753,513867,129286,20250103
202412,4호선,성신여대입구(돈암),597666,98375,572627,97256,20250103
202412,4호선,한성대입구(삼선교),355565,78515,342361,77463,20250103
202412,4호선,혜화,1052566,136650,1056243,133382,20250103
202412,4호선,동대문,419647,154468,443111,150054,20250103
202412,4호선,동대문역사문화공원(DDP),546914,70256,475468,62453,20250103
202412,4호선,충무로,765734,128343,793984,131160,20250103
202412,4호선,명동,1073413,92923,1172291,97980,20250103
202412,4호선,회현(남대문시장),631059,211986,664966,212162,20250103
202412,4호선,서울역,340419,44249,643502,60461,20250103
202412,4호선,숙대입구(갈월),412502,60196,396714,56042,20250103
202412,4호선,삼각지,182630,26692,215667,28466,20250103
202412,4호선,신용산,584436,61977,628722,62744,20250103
202412,4호선,이촌(국립중앙박물관),249828,56219,269337,59474,20250103
202412,4호선,동작(현충원),28433,12756,32278,13049,20250103
202412,4호선,총신대입구(이수),423492,169727,465621,177752,20250103
202412,4호선,사당,690653,113231,647205,125376,20250103
202412,4호선,남태령,43978,9303,43026,9017,20250103
202412,4호선,당고개,211170,80477,174872,79353,20250103
202412,4호선,상계,451501,138983,413617,135891,20250103
202412,4호선,노원,539484,119644,623302,118719,20250103
202412,5호선,을지로4가,142860,44715,144172,43151,20250103
202412,5호선,동대문역사문화공원(DDP),82105,9861,94269,10936,20250103
202412,5호선,하남검단산,152120,58805,144000,58121,20250103
202412,5호선,청구,87839,24922,85729,21435,20250103
202412,5호선,신금호,149758,41267,156620,46559,20250103
202412,5호선,행당,187592,54603,165321,49762,20250103
202412,5호선,왕십리(성동구청),117564,28070,142778,29455,20250103
202412,5호선,마장,135745,46665,127688,45860,20250103
202412,5호선,답십리,391309,91285,349494,87763,20250103
202412,5호선,장한평,477134,108578,467730,110749,20250103
202412,5호선,군자(능동),317505,47831,351634,52545,20250103
202412,5호선,아차산(어린이대공원후문),337699,113340,326666,110251,20250103
202412,5호선,광나루(장신대),279400,71908,263615,71355,20250103
202412,5호선,천호(풍납토성),458495,165681,441287,164706,20250103
202412,5호선,강동,440201,123158,425885,119554,20250103
202412,5호선,길동,175454,89058,180665,91001,20250103
202412,5호선,굽은다리(강동구민회관앞),219600,92592,212147,87384,20250103
202412,5호선,명일,180358,74974,178023,76119,20250103
202412,5호선,고덕,233915,83050,222664,80751,20250103
202412,5호선,상일동,338299,101837,316527,100630,20250103
202412,5호선,둔촌동,218555,83596,217624,83976,20250103
202412,5호선,올림픽공원(한국체대),120810,41479,103210,36031,20250103
202412,5호선,방이,166772,56506,172447,56879,20250103
202412,5호선,오금,86348,24528,87016,23496,20250103
202412,5호선,개롱,143627,56905,148252,58472,20250103
202412,5호선,거여,230594,75062,221393,72593,20250103
202412,5호선,마천,158597,60670,137937,62030,20250103
202412,5호선,강일,135462,49232,121672,47377,20250103
202412,5호선,미사,455126,99944,461113,99099,20250103
202412,5호선,하남시청(덕풍?신장),177238,86369,162689,86175,20250103
202412,5호선,하남풍산,102100,38904,101818,38299,20250103
202412,5호선,방화,148678,58407,140868,57573,20250103
202412,5호선,개화산,139251,45595,131968,43505,20250103
202412,5호선,김포공항,345877,57842,214585,46619,20250103
202412,5호선,송정,143006,54648,135571,52246,20250103
202412,5호선,마곡,288257,51167,293665,50152,20250103
202412,5호선,발산,576145,123620,599692,119437,20250103
202412,5호선,우장산,336936,107501,328159,111360,20250103
202412,5호선,화곡,690284,162925,639744,156075,20250103
202412,5호선,까치산,663433,168167,628837,169610,20250103
202412,5호선,신정(은행정),328852,69493,265569,67155,20250103
202412,5호선,목동,400802,92336,428660,94316,20250103
202412,5호선,오목교(목동운동장앞),545205,99831,576387,98628,20250103
202412,5호선,양평,194752,33077,188165,32446,20250103
202412,5호선,영등포구청,119155,22052,116888,21629,20250103
202412,5호선,영등포시장,296713,88102,291315,89578,20250103
202412,5호선,신길,151771,14706,153379,15161,20250103
202412,5호선,여의도,891398,69170,974532,69418,20250103
202412,5호선,여의나루,375461,35951,449486,34139,20250103
202412,5호선,마포,384881,73297,384243,72602,20250103
202412,5호선,공덕,383305,57881,406514,55380,20250103
202412,5호선,애오개,149507,41765,148381,40238,20250103
202412,5호선,충정로(경기대입구),126010,18911,127293,18825,20250103
202412,5호선,서대문,510742,79460,513829,75103,20250103
202412,5호선,광화문(세종문화회관),987223,142916,1040468,143852,20250103
202412,5호선,종로3가,383590,105103,377420,105986,20250103
202412,6호선,망원,400180,88481,429521,91632,20250103
202412,6호선,신내,11,1,0,0,20250103
202412,6호선,봉화산(서울의료원),205330,55750,189871,54994,20250103
202412,6호선,화랑대(서울여대입구),294616,55064,231343,50453,20250103
202412,6호선,태릉입구,141600,36306,156023,36137,20250103
202412,6호선,석계,290692,87161,299387,86618,20250103
202412,6호선,돌곶이,240974,64706,216900,64124,20250103
202412,6호선,상월곡(한국과학기술연구원),148631,43862,129748,42321,20250103
202412,6호선,월곡(동덕여대),272963,73650,265885,73240,20250103
202412,6호선,고려대(종암),228317,37325,216845,37079,20250103
202412,6호선,안암(고대병원앞),340272,41188,337342,40194,20250103
202412,6호선,보문,209651,34544,195251,32621,20250103
202412,6호선,창신,85866,21074,70815,20307,20250103
202412,6호선,동묘앞,205321,74898,211605,69784,20250103
202412,6호선,신당,237352,43188,240072,41684,20250103
202412,6호선,청구,93304,21067,88780,22451,20250103
202412,6호선,약수,95206,23233,90461,23214,20250103
202412,6호선,버티고개,51717,14697,50275,16992,20250103
202412,6호선,한강진,316838,26225,370509,26411,20250103
202412,6호선,이태원,336818,31640,372855,31801,20250103
202412,6호선,녹사평(용산구청),136982,18653,144585,18335,20250103
202412,6호선,삼각지,219228,23000,192644,19505,20250103
202412,6호선,효창공원앞,182258,41180,165741,38110,20250103
202412,6호선,공덕,493207,88716,475241,82959,20250103
202412,6호선,대흥(서강대앞),226643,50392,239862,49721,20250103
202412,6호선,광흥창(서강),233161,59584,219824,58503,20250103
202412,6호선,상수,303066,22434,343963,22805,20250103
