역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,총승하차인원,유임승하차인원,무임승하차인원,시간대총합
강남,승차,310001,645175,1423430,2243632,1912403,1959982,2575394,3189240,3748925,4174888,5073626,6065211,9016739,11353635,7608044,5927953,6626556,5853562,2723746,466503,82899321,77095382,5803939,82898645
강변,승차,317779,898834,2557463,3854113,2866887,2269332,1983158,1837496,1744443,1597955,1683225,1810239,1988426,2093434,1465003,1162973,957814,626777,244714,33411,31993630,27688483,4305147,31993476
광화문,승차,44475,122184,323296,471087,430256,566233,839985,1054923,1407993,1724140,2197417,2887094,4627972,7749051,2952648,2435488,2516330,1540451,499477,61624,34453741,30852447,3601294,34452124
교대,승차,160848,564319,1265598,1854504,1532144,1514699,1833663,2023831,2462746,2897321,3094239,3364376,5360680,7247288,3454371,2977326,2935020,2307960,893632,161044,47905825,39372086,8533739,47905609
구로디지털단지,승차,1380523,1894345,4986262,6567454,4111703,2533643,2278055,2510544,2474178,2268974,2474727,2993472,4849187,7227477,3568087,2279183,1901779,1465936,677454,122312,58565713,51283094,7282619,58565295
구의,승차,486397,965043,2519299,4193281,2619081,1445441,1196415,1256426,1230831,1142015,1200265,1506880,1540697,1673572,948325,738106,677192,589527,307692,49669,26286401,22305478,3980923,26286154
구파발,승차,442757,1226770,3031197,2927362,1687305,1199041,1150682,1191897,1136142,1159686,1301136,1464525,1444262,1138146,748748,615408,530659,416642,118654,20997,22952086,18091390,4860696,22952016
길음,승차,380829,1206332,3118677,3137358,1840243,1272051,1131676,1178495,1135412,1046489,1113501,1269701,1308492,1231643,684001,543189,429257,418633,155809,23495,22625355,18102579,4522776,22625283
남부터미널,승차,111913,333865,1028340,1608603,1363811,1281730,1436364,1488459,1603574,1671266,1867168,2373768,3883563,4777946,2236813,1601649,1449706,1107823,322709,33202,31582327,26958564,4623763,31582272
동대문,승차,588598,436189,715245,1011235,1176028,1326437,1623810,1987658,2285100,2666646,3000598,3442287,3952664,3020190,1861267,1494722,1411051,1023646,483013,76262,33583539,23533140,10050399,33582646
망원,승차,206926,369186,952002,1334259,901940,679110,706798,880899,915138,930619,996943,1110122,1276352,1525829,1072044,929844,858244,680511,322742,46596,16696200,13618892,3077308,16696104
명동,승차,57583,141887,290005,574061,1058281,1289526,1525927,1580362,1750167,2101963,2636301,3135185,3677772,5024373,3054591,2799938,2708529,2415534,1001378,68544,36892335,33997187,2895148,36891907
