역명,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후
강남,554.5,356.4,487.75,730.0,745.45,706.75,745.8499999999999,811.25,886.0,870.1,938.3,1107.05,1146.35,1130.3,831.35,778.75,887.85,786.25,499.45,71.35
강변,207.1,230.89999999999998,332.25,523.05,498.8,471.65,566.0,598.35,630.1,609.35,702.45,732.5999999999999,761.0,783.85,577.4,521.85,571.4,479.5,317.55,48.5
광화문,213.4,217.1,379.9,477.15,430.05,453.5,508.29999999999995,546.95,600.6500000000001,625.3499999999999,688.35,824.5,915.8,825.55,606.4,525.7,500.95000000000005,404.79999999999995,263.6,42.2
교대,830.8,707.15,976.3,1469.35,1463.85,1338.75,1408.2,1499.65,1627.25,1604.9499999999998,1682.3000000000002,2004.8000000000002,2053.55,2058.4,1458.3,1307.9,1351.25,1255.0,725.55,110.65
구로디지털단지,693.7,417.7,512.6,716.8499999999999,682.9,615.05,626.3499999999999,679.35,752.8,712.3499999999999,702.0999999999999,896.1500000000001,880.05,936.3499999999999,687.05,585.75,645.95,676.9,516.8,74.9
구의,252.3,245.45,353.7,540.85,502.90000000000003,483.85,576.0,615.15,650.45,632.0,727.15,760.9000000000001,787.0,784.75,575.6500000000001,519.8,568.6,484.75,329.25,44.95
구파발,199.2,227.45,322.75,440.25,394.9,417.2,371.3,403.25,409.45,391.54999999999995,455.15,478.65000000000003,517.7,502.0,354.7,287.1,300.79999999999995,270.95,153.85,19.75
길음,561.2,402.6,564.8,813.65,763.55,670.95,661.95,617.2,618.3499999999999,605.8499999999999,663.3499999999999,742.8499999999999,823.45,832.65,644.2,547.8,542.95,534.9000000000001,438.15,63.25
남부터미널,171.0,244.6,350.2,528.2,478.85,451.70000000000005,519.0,549.95,558.3499999999999,561.9000000000001,603.8,733.0,761.55,740.9,486.6,423.95000000000005,390.95,376.65,190.2,27.599999999999998
동대문,700.8,657.0999999999999,953.45,1474.0500000000002,1478.4,1382.4,1414.35,1515.35,1584.15,1558.0,1681.95,1784.45,1933.95,1907.75,1339.65,1188.85,1220.6,1134.05,882.95,145.7
망원,313.9,331.4,504.4,657.6500000000001,612.0,587.9,585.5,642.3,689.55,690.4,783.3499999999999,862.5,837.35,977.3,683.45,526.1,534.15,497.0,327.25,39.849999999999994
명동,339.3,266.95,365.2,601.5,680.0999999999999,692.55,748.1,709.4000000000001,735.05,732.75,809.25,886.45,958.3499999999999,967.8499999999999,718.95,637.3,654.05,619.95,469.34999999999997,51.150000000000006
미아,490.1,352.79999999999995,498.9,703.15,664.0,588.0999999999999,573.3,532.4,545.4000000000001,521.65,576.0,634.35,702.35,736.4,564.9000000000001,481.95,482.70000000000005,473.05,388.25,56.65
미아사거리,289.6,210.85,313.0,443.4,386.04999999999995,337.65,327.25,306.8,314.0,306.35,334.9,366.15,418.5,428.9,329.4,276.95000000000005,267.75,267.75,217.2,39.45
발산,351.7,185.5,239.7,299.15,266.75,272.65,288.7,317.95000000000005,343.54999999999995,349.15,386.0,438.25,432.95000000000005,444.85,313.15,264.70000000000005,248.8,240.05,154.3,42.400000000000006
봉천,591.8,433.65,561.75,798.05,775.8,681.3,656.05,684.25,788.25,728.15,731.9,940.3499999999999,903.3,918.45,718.15,629.2,717.2,712.15,498.09999999999997,77.05
